Date, Realm, RealmType, NodeName, SessionID, User, SourcePage, SourceArea, DestPage, DestArea, Type, Status, AppMetricName, AppMetric, AppDimension1, AppDimension2, AppInfo, Referer, AcceptLanguages, UserAgent, TestShortId, TestId, TestLine, AQL Queries,AQL QueriesMillis,Working Set,AQL Rows Fetched,AQL Rows FetchedMillis,ClusterRoot Reconstitutions,ClusterRoot ReconstitutionsMillis,Commits,CommitsMillis,ObjectCopies,SQL Updates,SQL UpdatesMillis,SQL Queries,SQL QueriesMillis,UpdateAttrsBlob,SQL Commits,SQL CommitsMillis,Connection Permit,Connection PermitMillis,JDBC Connection,JDBC ConnectionMillis,Response Size,Page Generation,Element Id Instantiations,visibilityExprEval,visibilityExprEvalMillis,editabilityExprEval,editabilityExprEvalMillis,validityExprEval,validityExprEvalMillis,Thread CPU TimeMillis,RuntimeMillis,
Sun Sep 05 22:25:00 PDT 2010,,,Node1,:,,"CoreServer-None","UpdateFreeTextNotesBlobIndexTask",,,Task,Success,,,,,,,,,,,,1,4,1,1,0,,,3,52,3,2,21,2,98,,2,4,4,0,4,0,,,,,,,,,,,189,
Sun Sep 05 22:25:00 PDT 2010,,,Node1,:,,"CoreServer-None","UpdateFreeTextFileBlobIndexTask",,,Task,Success,,,,,,,,,,,,1,8,1,1,0,,,3,34,3,2,17,2,112,,2,9,4,0,4,0,,,,,,,,,,,195,
Sun Sep 05 22:25:09 PDT 2010,System,Production,Node1,31B1A6C00DF1F2F95B6AE40FF1780BF9:10.12.105.84,,"ariba.collaborate.appui.DirectAction","default",ariba/ui/aribaweb/core/AWRedirect,,User,Success,,,,,,,"en-us,en;q=0.5","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5",,,,5,123,14,12,0,12,423,,,14,,,54,479,,,,20,1,20,2,1217,1217,,,,,,,,1430,2687,
Sun Sep 05 22:25:11 PDT 2010,System,Production,Node1,31B1A6C00DF1F2F95B6AE40FF1780BF9:10.12.105.84,,"ariba.ui.sso.SSOActions","loginPage",ariba/ui/sso/SSOMain,,User,Success,,,,,,,"en-us,en;q=0.5","Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.6; en-US; rv:1.9.1.5) Gecko/20091102 Firefox/3.5.5",,,,,,6,,,,,,,,,,5,5,,,,1,0,1,0,19044,18675,32,,,,,,,810,1969,
Sun Sep 05 22:25:11 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,0,,,,,,,,0,1,
Sun Sep 05 22:25:11 PDT 2010,,,Node1,:,,"ariba.ui.aribaweb.core.AWXDebugResourceActions","content",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1824,0,,,,,,,,0,0,
Sun Sep 05 22:25:11 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,0,1,
Sun Sep 05 22:25:11 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43120,0,,,,,,,,0,0,
Sun Sep 05 22:25:11 PDT 2010,,,Node1,:,,"ariba.ui.aribaweb.core.AWXDebugResourceActions","content",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33989,0,,,,,,,,0,1,
Sun Sep 05 22:25:11 PDT 2010,,,Node1,:,,"ariba.ui.aribaweb.core.AWXDebugResourceActions","content",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94130,0,,,,,,,,0,0,
Sun Sep 05 22:25:11 PDT 2010,,,Node1,:,,"ariba.ui.aribaweb.core.AWXDebugResourceActions","content",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93299,0,,,,,,,,0,28,
Sun Sep 05 22:25:11 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79323,0,,,,,,,,0,1,
Sun Sep 05 22:25:12 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9374,0,,,,,,,,0,2,
Sun Sep 05 22:25:12 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,0,1,
Sun Sep 05 22:25:12 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,0,,,,,,,,0,1,
Sun Sep 05 22:25:12 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32154,0,,,,,,,,0,1,
Sun Sep 05 22:25:12 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872,0,,,,,,,,0,1,
Sun Sep 05 22:25:12 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,979,0,,,,,,,,0,1,
Sun Sep 05 22:25:12 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,0,,,,,,,,0,1,
Sun Sep 05 22:25:12 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268,0,,,,,,,,0,1,
Sun Sep 05 22:25:12 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,0,,,,,,,,0,1,
Sun Sep 05 22:25:12 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,0,,,,,,,,0,1,
Sun Sep 05 22:25:12 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,0,,,,,,,,0,2,
Sun Sep 05 22:25:12 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,0,,,,,,,,0,1,
Sun Sep 05 22:25:12 PDT 2010,,,Node1,:,,"ariba.collaborate.appui.DirectAction","awres",,,,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,0,,,,,,,,0,1,
