Date, Realm, RealmType, NodeName, SessionID, User, SourcePage, SourceArea, DestPage, DestArea, Type, Status, AppMetricName, AppMetric, AppDimension1, AppDimension2, AppInfo, Referer, AcceptLanguages, UserAgent, AQL Queries,AQL QueriesMillis,Working Set,AQL Rows Fetched,AQL Rows FetchedMillis,ClusterRoot Reconstitutions,ClusterRoot ReconstitutionsMillis,Commits,CommitsMillis,ObjectCopies,SQL Updates,SQL UpdatesMillis,SQL Queries,SQL QueriesMillis,UpdateAttrsBlob,SQL Commits,SQL CommitsMillis,Response Size,Page Generation,Element Id Instantiations,RuntimeMillis,
Fri Aug 27 18:45:15 PDT 2010,,,Node1,:,,CoreServer-None,UpdateFreeTextFileBlobIndexTask,,,Task,Success,,,,,,,,,,,1,,,,,3,90,1,3,15124,5,68,,3,78,,,,15297,
Fri Aug 27 18:46:40 PDT 2010,,,Node1,:,,CoreServer-prealm_1,RealmAutoManageTask,,,Task,Success,,,,,,,,,,,1,,,,,3,12,1,2,1,3,5,,2,7,,,,45,
Fri Aug 27 18:46:40 PDT 2010,,,Node1,:,,CoreServer-prealm_1,UpdateSignatureTasksTask,,,Task,Success,,,,,,,,,1,113,1,,,,,4,18,1,2,3,4,16,,2,11,,,,163,
Fri Aug 27 18:49:36 PDT 2010,,,Node1,:,,CoreServer-None,UpdateFreeTextAttrsBlobIndexRepeatedTask,,,Task,Success,,,,,,,,,,,1,,,,,3,23,1,3,16733,31,102,,3,13,,,,276901,
Fri Aug 27 18:50:00 PDT 2010,,,Node1,:,,CoreServer-None,UpdateFreeTextFileBlobIndexTask,,,Task,Success,,,,,,,,,,,1,,,,,3,17,2,2,9,1,3,,2,5,,,,24,
Fri Aug 27 18:51:40 PDT 2010,,,Node1,:,,CoreServer-prealm_1,RealmAutoManageTask,,,Task,Success,,,,,,,,,,,1,,,,,3,12,2,2,2,,,,2,4,,,,17,
Fri Aug 27 18:51:40 PDT 2010,,,Node1,:,,CoreServer-prealm_1,UpdateSignatureTasksTask,,,Task,Success,,,,,,,,,1,3,1,,,,,4,21,2,2,3,1,1,,2,12,,,,28,
Fri Aug 27 18:54:30 PDT 2010,,,Node1,:,,CoreServer-None,UpdateFreeTextAttrsBlobIndexRepeatedTask,,,Task,Success,,,,,,,,,,,1,,,,,3,12,2,2,3,28,95,,2,3,,,,270139,
Fri Aug 27 18:55:00 PDT 2010,,,Node1,:,,CoreServer-None,UpdateFreeTextFileBlobIndexTask,,,Task,Success,,,,,,,,,,,1,,,,,3,18,2,2,3,1,1,,2,9,,,,22,
Fri Aug 27 18:56:40 PDT 2010,,,Node1,:,,CoreServer-prealm_1,RealmAutoManageTask,,,Task,Success,,,,,,,,,,,1,,,,,3,12,2,2,2,,,,2,5,,,,16,
